"Estacao";"Nome";"Horario_Brasilia";"Horario_Rondonia";"Horario_Acre";"Nivel_Atual";"Var_Nivel_24";"Var_Nivel_7d";"Var_Nivel_14d";"Var_Nivel_21d";"Acum_Chuva_24";"Acum_Chuva_96";"Rio";"Passado";"C_Max";"Ano_Max";"Mediana";"Minima_Dia";"Maxima_Dia";"Percentil";"SPI"
"56110005";"Ponte Nova";2026-09-15 10:00:00;2026-09-15 09:00:00;2026-09-15 08:00:00;132;-9;15;41;45;23,8;25,8;"DOCE";;;"2012";102;44;152;"90%-100%";
"56610000";"Piracicaba";2026-09-15 10:00:00;2026-09-15 09:00:00;2026-09-15 08:00:00;86;-3;5;3;9;10,8;35;"DOCE";;;"2022";74;0;194;"50%-60%";
"56661000";"Nova Era";2026-09-15 10:15:00;2026-09-15 09:15:00;2026-09-15 08:15:00;44;1;1;-8;-7;12;12;"DOCE";;;"2022";50;34;81;"10%-20%";
"56696000";"Má De Carvalho";2026-05-26 14:30:00;2026-05-26 13:30:00;2026-05-26 12:30:00;112;-3;-6;1;-10;0;0;"DOCE";;;"2022";80;2;154;"70%-80%";
"56825000";"Naque Velho";2026-09-15 10:15:00;2026-09-15 09:15:00;2026-09-15 08:15:00;169,6;-39,2;-40,4;-35,4;-38;4,2;4,2;"DOCE";;;"2016";196,5;127;229;"20%-30%";
"56850000";"Governador Valadares";2026-06-15 14:30:00;2026-06-15 13:30:00;2026-06-15 12:30:00;117;-20;-14;-29;-28;0;0;"DOCE";;;"1997";135,5;78;257;"10%-20%";
"56994500";"Colatina";2026-09-15 10:15:00;2026-09-15 09:15:00;2026-09-15 08:15:00;113;-2;3;-4;17;0;0;"DOCE";;;"2013";94;36;187;"60%-70%";
