"Estacao";"Nome";"Horario_Brasilia";"Horario_Rondonia";"Horario_Acre";"Nivel_Atual";"Var_Nivel_24";"Var_Nivel_7d";"Var_Nivel_14d";"Var_Nivel_21d";"Acum_Chuva_24";"Acum_Chuva_96";"Rio";"Passado";"C_Max";"Ano_Max";"Mediana";"Minima_Dia";"Maxima_Dia";"Percentil";"SPI"
"86472000";"Linha José Julio";2026-09-17 06:30:00;2026-09-17 05:30:00;2026-09-17 04:30:00;485;-32;18;-130;16;0;0;"TAQUARI";;;"2023";437,5;234;520;"88%-100%";
"86472600";"Santa Tereza";2026-09-17 05:45:00;2026-09-17 04:45:00;2026-09-17 03:45:00;354;-35;29;-126;23;0;0;"TAQUARI";;;;;;;;
"86510000";"Muçum";2026-09-17 06:15:00;2026-09-17 05:15:00;2026-09-17 04:15:00;368;-33;48;-127;47;0;0;"TAQUARI";;;"2023";260;72;975;"70%-80%";
"86720000";"Encantado";2026-09-17 06:15:00;2026-09-17 05:15:00;2026-09-17 04:15:00;205;-25;50;-101;56;0;0;"TAQUARI";;;"2023";250,5;94;928;"30%-40%";
"86879300";"Estrela";2026-05-04 04:15:00;2026-05-04 03:15:00;2026-05-04 02:15:00;1304;13;11;;16;0;0;"TAQUARI";;;"2024";1312,5;1288;1323;"0%-33%";
