"Estacao";"Nome";"Horario_Brasilia";"Horario_Rondonia";"Horario_Acre";"Nivel_Atual";"Var_Nivel_24";"Var_Nivel_7d";"Var_Nivel_14d";"Var_Nivel_21d";"Acum_Chuva_24";"Acum_Chuva_96";"Rio";"Passado";"C_Max";"Ano_Max";"Mediana";"Minima_Dia";"Maxima_Dia";"Percentil";"SPI"
"87160000";"Nova Palmira";2026-09-12 06:15:00;2026-09-12 05:15:00;2026-09-12 04:15:00;287;130;115;124;113;52,4;66,6;"CAÍ";;;"2024";89;2;575;"90%-100%";
"87170000";"Barca Do Caí";2026-09-12 06:15:00;2026-09-12 05:15:00;2026-09-12 04:15:00;916;615;521;421;513;35;40,8;"CAÍ";;;"2024";271;149;1203;"90%-100%";
"87270000";"Passo Montenegro";2026-09-12 06:15:00;2026-09-12 05:15:00;2026-09-12 04:15:00;482;313;255;195;229;29,4;33;"CAÍ";;;"2024";162;44;756;"90%-100%";
