"Estacao";"Nome";"Horario_Brasilia";"Horario_Rondonia";"Horario_Acre";"Nivel_Atual";"Var_Nivel_24";"Var_Nivel_7d";"Var_Nivel_14d";"Var_Nivel_21d";"Acum_Chuva_24";"Acum_Chuva_96";"Rio";"Passado";"C_Max";"Ano_Max";"Mediana";"Minima_Dia";"Maxima_Dia";"Percentil";"SPI"
"13450000";"ASSIS BRASIL";2025-03-25 17:15:00;2025-03-25 16:15:00;2025-03-25 15:15:00;324;-46;-124;-220;-125;0;0;"ACRE";NA;NA;"2012";242;192;310;"60%-70%";NA
"13470000";"BRASILEIA";2026-02-10 20:30:00;2026-02-10 19:30:00;2026-02-10 18:30:00;708;229;401;75;176;0;0;"ACRE";NA;NA;"2024";179;70;277;"100%-Máxima";NA
"13550000";"XAPURI";2026-09-15 11:30:00;2026-09-15 10:30:00;2026-09-15 09:30:00;250;51;55;76;33;0;17,6;"ACRE";NA;NA;"2015";259,5;124;422;"30%-40%";NA
"13568000";"CAPIXABA";2026-05-29 14:30:00;2026-05-29 13:30:00;2026-05-29 12:30:00;231;-32;-216;-225;-321;0;0;"ACRE";NA;NA;NA;NA;NA;NA;NA;NA
"13578000";"RIO ROLA";2026-09-15 11:15:00;2026-09-15 10:15:00;2026-09-15 09:15:00;95;-4;19;3;-7;0;15,8;"DO ROLA";NA;NA;"2023";123;70;171;"22%-33%";NA
"13600002";"RIO BRANCO";2026-09-15 11:45:00;2026-09-15 10:45:00;2026-09-15 09:45:00;223;-19;57;45;-16;0;20,8;"ACRE";NA;NA;"2015";276,5;130;410;"30%-40%";NA
