"Estacao";"Nome";"Horario_Brasilia";"Horario_Rondonia";"Horario_Acre";"Nivel_Atual";"Var_Nivel_24";"Var_Nivel_7d";"Var_Nivel_14d";"Var_Nivel_21d";"Acum_Chuva_24";"Acum_Chuva_96";"Rio";"Passado";"C_Max";"Ano_Max";"Mediana";"Minima_Dia";"Maxima_Dia";"Percentil";"SPI"
"41340000";"Ponte Raul Soares";2026-09-17 06:00:00;2026-09-17 05:00:00;2026-09-17 04:00:00;96;-27;39;24;61;0;4,6;"DAS VELHAS";;;"2022";90;18;156;"60%-70%";
"41410000";"Jequitibá";2026-09-17 06:00:00;2026-09-17 05:00:00;2026-09-17 04:00:00;147;30;69;69;74;0;17;"DAS VELHAS";;;"2022";84,5;47;201;"90%-100%";
"41650002";"Ponto do Licínio";2026-07-28 14:00:00;2026-07-28 13:00:00;2026-07-28 12:00:00;150;3;1;0;;0;0;"DAS VELHAS";;;"2022";148;128;192;"50%-60%";
"41780002";"Presidente Juscelino";2026-09-17 06:15:00;2026-09-17 05:15:00;2026-09-17 04:15:00;102;38;33;39;40;0;14,6;"PARAUNA";;;"2020";52;38;126;"89%-100%";
"41818000";"Santo Hipólito";2026-09-17 05:45:00;2026-09-17 04:45:00;2026-09-17 03:45:00;90;3;3;2;11;8,2;16,2;"DAS VELHAS";;;"2020";89;54;172;"50%-60%";
