"Site";"lat";"lon";"DA";"Nome";"Horario_Brasilia";"Horario_Rondonia";"Horario_Acre";"Nivel_Atual";"Var_Nivel_24";"Var_Nivel_7d";"Var_Nivel_14d";"Var_Nivel_21d";"Acum_Chuva_24";"Acum_Chuva_96";"Rio";"Passado";"C_Max";"Ano_Max";"Mediana";"Minima_Dia";"Maxima_Dia";"Percentil";"SPI"
"15400000";-8,7414909061105;-63,9098491828945;976000;"PORTO VELHO";2026-09-13 20:15:00;2026-09-13 19:15:00;2026-09-13 18:15:00;339;-5;-20;-154;-86;2;2;"MADEIRA";;;"2014";342;66;720;"40%-50%";
"15250000";-10,7904128147678;-65,3402580392168;609000;"GUAJARA-MIRIM";2026-09-13 20:30:00;2026-09-13 19:30:00;2026-09-13 18:30:00;643;4;;-32;-38;42;42;"MAMORE";;;"2014";573;397;712;"90%-100%";
"15318000";-10,3504498489983;-65,360596199069;834000;"UHE JIRAU JUSANTE RIO BENI";2026-04-22 16:15:00;2026-04-22 15:15:00;2026-04-22 14:15:00;1256;-431;-395;-397;-402;0;0;"MADEIRA";;;"2014";985;954;1060;"100%-Máxima";
"15326000";-9,77955908299952;-65,5197841260444;31100;"MORADA NOVA JUSANTE";2026-09-13 20:30:00;2026-09-13 19:30:00;2026-09-13 18:30:00;911;7;0;-30;-36;8,6;131,8;"ABUNÃ?";;;"2014";859;703;944;"80%-90%";
"15560000";-10,8710172967507;-61,9307115117515;32800;"JI-PARANA";2026-06-19 08:00:00;2026-06-19 07:00:00;2026-06-19 06:00:00;704;;;-10;-24;0;0;"MACHADO";;;"2022";644;613;678;"100%-Máxima";
"15630000";-7,50077540103552;-63,0102062595394;1090000;"HUMAITÁ";2026-09-13 20:30:00;2026-09-13 19:30:00;2026-09-13 18:30:00;1128;-9;-23;-175;-72;0;30,2;"MADEIRA";;;"2014";1027;848;1396;"60%-70%";
"15200000";;;;"Príncípe da Beira";2026-09-13 20:30:00;2026-09-13 19:30:00;2026-09-13 18:30:00;445;3;-8;-22;-33;59,8;60;"GUAPORÉ";;;"2014";405;351;498;"80%-90%";
"15430000";;;;"Ariquemes";2026-04-12 18:00:00;2026-04-12 17:00:00;2026-04-12 16:00:00;605;;43;-257;10;0;0;"JAMARI";;;"2007";193;107;256;"100%-Máxima";
